iter	Passed	Remaining
399	49972	137425
400	50012	137067
401	50134	136933
402	50255	136800
403	50342	136571
404	50465	136442
405	50585	136305
406	50701	136159
407	50824	136029
408	50946	135899
409	51070	135773
410	51195	135648
411	51318	135520
412	51443	135396
413	51568	135273
414	51692	135146
415	51831	135060
416	51974	134983
417	52111	134892
418	52239	134775
419	52372	134671
420	52495	134542
421	52627	134436
422	52767	134350
423	52889	134219
424	53029	134132
425	53160	134023
426	53282	133891
427	53414	133786
428	53543	133671
429	53667	133544
430	53789	133413
431	53915	133292
432	54042	133171
433	54175	133065
434	54315	132979
435	54443	132861
436	54570	132741
437	54700	132630
438	54829	132514
439	54956	132395
440	55081	132271
441	55208	132149
442	55334	132028
443	55463	131912
444	55590	131794
445	55717	131672
446	55850	131567
447	55977	131446
448	56100	131318
449	56225	131193
450	56359	131088
451	56484	130964
452	56608	130836
453	56731	130706
454	56855	130580
455	56979	130453
456	57105	130330
457	57229	130202
458	57365	130102
459	57494	129986
460	57621	129867
461	57752	129756
462	57808	129476
463	57952	129394
464	58085	129287
465	58210	129163
466	58333	129034
467	58454	128900
468	58578	128773
469	58703	128648
470	58827	128520
471	58952	128395
472	59073	128263
473	59197	128137
474	59323	128012
475	59447	127886
476	59572	127762
477	59695	127633
478	59821	127511
479	59943	127380
480	60071	127261
481	60207	127159
482	60331	127034
483	60456	126907
484	60579	126780
485	60704	126655
486	60828	126528
487	60954	126406
488	61086	126296
489	61211	126171
490	61341	126055
491	61472	125943
492	61604	125833
493	61728	125705
494	61855	125586
495	61998	125496
496	62125	125375
497	62252	125254
498	62382	125139
499	62518	125037
500	62646	124917
501	62773	124796
502	62898	124671
503	63025	124550
504	63154	124434
505	63278	124305
506	63408	124190
507	63534	124067
508	63658	123940
509	63781	123811
510	63908	123690
511	64039	123576
512	64162	123446
513	64287	123322
514	64410	123193
515	64534	123066
516	64658	122939
517	64783	122813
518	64914	122699
519	65046	122588
520	65175	122470
521	65307	122358
522	65436	122239
523	65563	122117
524	65768	122140
525	66047	122301
526	66220	122263
527	66344	122134
528	66504	122072
529	66634	121953
530	66758	121824
531	66900	121728
532	67048	121643
533	67175	121519
534	67299	121390
535	67425	121265
536	67551	121139
537	67685	121028
538	67818	120916
539	67945	120792
540	68071	120666
541	68204	120553
542	68245	120278
543	68368	120147
544	68500	120032
545	68628	119910
546	68755	119788
547	68884	119668
548	69025	119567
549	69153	119446
550	69195	119176
551	69320	119050
552	69447	118927
553	69576	118807
554	69702	118682
555	69743	118413
556	69868	118287
557	70009	118187
558	70166	118115
559	70226	117880
560	70351	117754
561	70475	117626
562	70515	117359
563	70642	117237
564	70769	117114
565	70894	116988
566	71017	116859
567	71142	116733
568	71265	116604
569	71390	116478
570	71514	116352
571	71639	116225
572	71765	116102
573	71892	115979
574	72023	115863
575	72162	115759
576	72287	115635
577	72414	115512
578	72541	115389
579	72665	115262
580	72792	115139
581	72919	115017
582	73046	114894
583	73172	114771
584	73303	114654
585	73430	114530
586	73557	114408
587	73684	114285
588	73809	114161
589	73936	114037
590	74062	113913
591	74189	113790
592	74316	113667
593	74444	113546
594	74569	113421
595	74698	113300
596	74823	113175
597	74952	113055
598	75079	112932
599	75206	112809
600	75335	112689
601	75461	112565
602	75588	112441
603	75710	112312
604	75837	112189
605	75966	112069
606	76092	111944
607	76221	111824
608	76348	111701
609	76499	111614
610	76628	111493
611	76760	111377
612	76888	111255
613	77020	111140
614	77151	111022
615	77278	110900
616	77406	110778
617	77532	110652
618	77656	110524
619	77780	110397
620	77904	110271
621	78030	110146
622	78154	110017
623	78280	109893
624	78405	109767
625	78535	109648
626	78663	109526
627	78787	109398
628	78910	109270
629	79034	109142
630	79156	109013
631	79281	108887
632	79405	108759
633	79540	108646
634	79667	108524
635	79808	108419
636	79936	108297
637	80063	108174
638	80189	108049
639	80314	107921
640	80442	107800
641	80572	107680
642	80698	107555
643	80823	107429
644	80945	107300
645	81072	107175
646	81191	107042
647	81316	106916
648	81433	106779
649	81558	106653
650	81685	106529
651	81810	106403
652	81934	106275
653	82061	106152
654	82178	106016
655	82294	105878
656	82406	105736
657	82524	105601
658	82643	105467
659	82753	105323
660	82863	105177
661	82975	105035
662	83085	104891
663	83207	104761
664	83336	104640
665	83449	104499
666	83576	104376
667	83694	104242
668	83815	104111
669	83940	103985
670	84062	103856
671	84185	103728
672	84312	103605
673	84440	103483
674	84574	103368
675	84706	103251
676	84849	103148
677	84974	103022
678	85099	102896
679	85257	102810
680	85443	102757
681	85583	102649
682	85719	102536
683	85852	102420
684	85991	102310
685	86158	102234
686	86292	102118
687	86529	102124
688	86820	102193
689	86996	102126
690	87133	102012
691	87265	101893
692	87397	101775
693	87530	101655
694	87663	101538
695	87806	101431
696	87948	101323
697	88075	101198
698	88206	101077
699	88350	100971
700	88496	100868
701	88654	100778
702	88783	100654
703	88956	100581
704	89029	100395
705	89158	100271
706	89303	100165
707	89427	100037
708	89567	99926
709	89725	99835
710	89878	99738
711	90003	99610
712	90136	99491
713	90277	99381
714	90402	99252
715	90546	99145
716	90695	99043
717	90823	98919
718	90945	98787
719	91091	98682
720	91222	98561
721	91347	98432
722	91481	98314
723	91620	98201
724	91757	98085
725	91888	97963
726	92016	97838
727	92153	97722
728	92291	97608
729	92429	97494
730	92565	97377
731	92703	97262
732	92832	97138
733	93014	97069
734	93144	96946
735	93299	96848
736	93423	96719
737	93550	96593
738	93682	96471
739	93806	96341
740	93930	96211
741	94051	96080
742	94173	95948
743	94295	95815
744	94418	95685
745	94544	95558
746	94667	95428
747	94790	95297
748	94916	95169
749	95038	95038
750	95164	94910
751	95288	94782
752	95413	94653
753	95537	94523
754	95682	94414
755	95806	94286
756	95913	94139
757	96037	94010
758	96165	93884
759	96290	93756
760	96420	93632
761	96552	93511
762	96676	93382
763	96798	93251
764	96921	93121
765	97044	92990
766	97171	92863
767	97307	92746
768	97430	92616
769	97554	92487
770	97678	92357
771	97802	92228
772	97925	92098
773	98056	91975
774	98185	91850
775	98307	91720
776	98431	91590
777	98554	91460
778	98678	91331
779	98802	91202
780	98939	91084
781	99067	90959
782	99196	90835
783	99326	90711
784	99458	90589
785	99585	90463
786	99710	90334
787	99837	90208
788	99962	90080
789	100085	89950
790	100212	89823
791	100337	89695
792	100461	89566
793	100596	89447
794	100723	89320
795	100850	89194
796	100976	89067
797	101108	88945
798	101234	88817
799	101359	88689
800	101485	88562
801	101614	88437
802	101742	88312
803	101868	88184
804	101997	88060
805	102128	87936
806	102271	87824
807	102394	87694
808	102518	87565
809	102642	87436
810	102766	87306
811	102889	87177
812	103015	87049
813	103177	86952
814	103299	86822
815	103420	86691
816	103542	86559
817	103664	86429
818	103785	86298
819	103906	86166
820	104029	86036
821	104150	85905
822	104271	85773
823	104392	85642
824	104513	85511
825	104637	85381
826	104757	85249
827	104886	85125
828	105010	84996
829	105139	84871
830	105266	84744
831	105390	84616
832	105514	84487
833	105638	84359
834	105761	84229
835	105888	84102
836	106019	83979
837	106142	83850
838	106266	83721
839	106388	83590
840	106543	83486
841	106667	83357
842	106800	83235
843	106923	83106
844	107048	82978
845	107171	82849
846	107304	82727
847	107429	82599
848	107553	82470
849	107678	82342
850	107802	82213
851	107924	82083
852	108046	81953
853	108169	81823
854	108294	81695
855	108417	81566
856	108543	81438
857	108668	81311
858	108793	81183
859	108932	81066
860	109058	80939
861	109182	80810
862	109306	80681
863	109428	80551
864	109551	80422
865	109676	80294
866	109800	80165
867	109930	80041
868	110088	79937
869	110217	79812
870	110346	79687
871	110467	79556
872	110591	79428
873	110717	79301
874	110840	79171
875	110968	79045
876	111111	78931
877	111235	78802
878	111366	78678
879	111488	78548
880	111612	78420
881	111739	78293
882	111864	78165
883	111994	78041
884	112123	77916
885	112250	77789
886	112373	77660
887	112497	77532
888	112621	77403
889	112744	77274
890	112866	77144
891	112987	77014
892	113110	76884
893	113232	76754
894	113361	76629
895	113497	76509
896	113626	76384
897	113750	76255
898	113873	76126
899	113997	75998
900	114119	75868
901	114258	75750
902	114390	75627
903	114512	75497
904	114632	75366
905	114754	75236
906	114877	75107
907	114996	74975
908	115118	74846
909	115243	74718
910	115364	74588
911	115489	74460
912	115603	74325
913	115713	74188
914	115825	74052
915	115941	73919
916	116058	73786
917	116176	73654
918	116299	73525
919	116410	73389
920	116517	73250
921	116628	73113
922	116736	72976
923	116843	72837
924	116953	72700
925	117066	72565
926	117190	72437
927	117303	72303
928	117418	72169
929	117541	72041
930	117651	71905
931	117776	71777
932	117894	71646
933	118008	71512
934	118130	71383
935	118250	71253
936	118376	71127
937	118498	70997
938	118620	70869
939	118744	70741
940	118872	70616
941	118995	70487
942	119116	70358
943	119237	70228
944	119360	70100
945	119485	69973
946	119609	69846
947	119733	69718
948	119860	69592
949	119983	69463
950	120109	69337
951	120232	69209
952	120363	69085
