iter	Logloss
0	0.6896364682
1	0.6863432148
2	0.6826281059
3	0.6796384059
4	0.6770115802
5	0.6740436274
6	0.671200379
7	0.667805076
8	0.6647228406
9	0.6618737086
10	0.6592332148
11	0.6564950349
12	0.6536751277
13	0.651082823
14	0.6483737126
15	0.6456952532
16	0.6433523633
17	0.6409986712
18	0.638583977
19	0.6366621092
20	0.6346300831
21	0.6326369173
22	0.63050448
23	0.6283741925
24	0.6264549589
25	0.6246574838
26	0.6227936555
27	0.6207789538
28	0.619048196
29	0.6171073939
30	0.6152840592
31	0.6135515326
32	0.612050607
33	0.6102655764
34	0.608683646
35	0.6071413255
36	0.6056720123
37	0.604264524
38	0.6031989455
39	0.6018156912
40	0.6002410393
41	0.5987292487
42	0.5973293981
43	0.5961646906
44	0.594788067
45	0.5935884653
46	0.5924907664
47	0.5913820749
48	0.590131621
49	0.5889387958
50	0.5878314242
51	0.5868037743
52	0.5858466087
53	0.584978084
54	0.584041054
55	0.5831206361
56	0.5821209352
57	0.5807557083
58	0.5799445927
59	0.5788519926
60	0.5778351144
61	0.5769798447
62	0.5761713414
63	0.5753332312
64	0.5744992884
65	0.5735582134
66	0.572834161
67	0.5722713666
68	0.5716144272
69	0.5708620481
70	0.5699897905
71	0.5691627715
72	0.5688881527
73	0.5682708556
74	0.5674989763
75	0.5669542561
76	0.5661181917
77	0.5654166613
78	0.5647604825
79	0.5641143269
80	0.5634368446
81	0.5626362188
82	0.5618978977
83	0.5611789359
84	0.5603929015
85	0.5599714386
86	0.5592628659
87	0.5584842152
88	0.5577504188
89	0.5571043753
90	0.5565698465
91	0.5558847984
92	0.555194934
93	0.5545367436
94	0.5541195687
95	0.5536359066
96	0.5530344564
97	0.5525016382
98	0.5519151258
99	0.5514364062
100	0.5510318102
101	0.5505646627
102	0.5500444084
103	0.5494893209
104	0.5489393255
105	0.5484269876
106	0.5480165563
107	0.5473653177
108	0.546956974
109	0.5464621512
110	0.5459388944
111	0.5455334105
112	0.5449788953
113	0.5445417622
114	0.5440555948
115	0.5437590421
116	0.5431495335
117	0.5426305596
118	0.5421644735
119	0.5417865233
120	0.541225386
121	0.5406043952
122	0.5402208647
123	0.5400154946
124	0.5395795638
125	0.5391390247
126	0.5387332528
127	0.5383784667
128	0.53822042
129	0.5378978903
130	0.537750034
131	0.5375080149
132	0.5371059438
133	0.5367228686
134	0.5363518586
135	0.5359242956
136	0.5354622971
137	0.535208013
138	0.5348391593
139	0.5344557567
140	0.5339652322
141	0.5336105272
142	0.5332564923
143	0.5330895217
144	0.5326858493
145	0.5324059179
146	0.5319913192
147	0.5319420294
148	0.5315587277
149	0.5312865461
150	0.5308543382
151	0.5307584622
152	0.5303578133
153	0.5300302281
154	0.5296700686
155	0.5293513801
156	0.5290351584
157	0.5287740777
158	0.5283046755
159	0.5279978819
160	0.527730354
161	0.5272867185
162	0.5270044918
163	0.5266688233
164	0.5264379071
165	0.5261674756
166	0.5259303495
167	0.5257030167
168	0.5255117746
169	0.5251472654
170	0.5248937567
171	0.5245098436
172	0.5242139074
173	0.5241540756
174	0.5239008778
175	0.5237977359
176	0.5236515603
177	0.523500711
178	0.5232903863
179	0.5229916126
180	0.5227661656
181	0.5224699627
182	0.5222344809
183	0.5218090053
184	0.5217048728
185	0.5213805714
186	0.5210648282
187	0.5208861336
188	0.5207403009
189	0.5205328571
190	0.5203859066
191	0.5202417227
192	0.5199430263
193	0.5197321973
194	0.5194274461
195	0.5191311131
196	0.518830788
197	0.5186675086
198	0.5183489521
199	0.5181196246
200	0.5177870811
201	0.5174214324
202	0.5171172887
203	0.5169496191
204	0.5166406959
205	0.5164329015
206	0.5162162749
207	0.5160179266
208	0.5157841407
209	0.5156238907
210	0.5154091024
211	0.5152077947
212	0.5151462907
213	0.5147688346
214	0.5147357613
215	0.5144694865
216	0.5141507297
217	0.513954147
218	0.5137481831
219	0.5135104588
220	0.5131955402
221	0.5131822108
222	0.5129890374
223	0.5128070568
224	0.5125760472
225	0.5124146961
226	0.5121991947
227	0.511994993
228	0.5117226066
229	0.5115667098
230	0.5113372135
231	0.5111219848
232	0.5109069968
233	0.510705741
234	0.5104852643
235	0.5102805993
236	0.5100600252
237	0.5097910982
238	0.5096578702
239	0.5095250778
240	0.5091963092
241	0.5090300591
242	0.5089605879
243	0.5086153748
244	0.5083402308
245	0.5080433408
246	0.5078622193
247	0.5075724576
248	0.5073153101
249	0.5071132358
250	0.5069551846
251	0.5068193085
252	0.5065997745
253	0.5065820658
254	0.5065057429
255	0.506224128
256	0.5061688318
257	0.505981764
258	0.5057692423
259	0.5056876919
260	0.5054944102
261	0.5052863924
262	0.5052736997
263	0.5051178647
264	0.5050261508
265	0.5048252111
266	0.50462164
267	0.5043250584
268	0.504176162
269	0.5039446003
270	0.5039188075
271	0.5036889451
272	0.5035078638
273	0.503367802
274	0.5031570285
275	0.5029772088
276	0.5028429702
277	0.5026037744
278	0.5023826257
279	0.5021128381
280	0.5019716545
281	0.5017230607
282	0.501584771
283	0.501384232
284	0.5011785677
285	0.5008763754
286	0.5005234856
287	0.5003675294
288	0.5002972377
289	0.5001861587
290	0.4999937397
291	0.4998743947
292	0.4996565716
293	0.4996427214
294	0.4993756989
295	0.499250716
296	0.4989984339
297	0.4988167824
298	0.4986959692
299	0.4984205334
300	0.4982049707
301	0.4980048673
302	0.4979744368
303	0.4979226723
304	0.4978318606
305	0.4976169966
306	0.4974663365
307	0.4973458174
308	0.4971088234
309	0.4969175841
310	0.4967877201
311	0.4965831468
312	0.4963947765
313	0.4962677254
314	0.4960768229
315	0.4959077009
316	0.4959021183
317	0.4957121257
318	0.4955076348
319	0.495495451
320	0.4953018374
321	0.4952233404
322	0.4950470891
323	0.4948974117
324	0.4948734355
325	0.4947799018
326	0.4946414981
327	0.4945274445
328	0.4942360186
329	0.4940244186
330	0.4938684936
331	0.4937888817
332	0.4935297093
333	0.4934035132
334	0.4933160613
335	0.4931912605
336	0.4930176062
337	0.4927011971
338	0.4924721003
339	0.492351745
340	0.4921088028
341	0.4920337512
342	0.4919689134
343	0.4918572191
344	0.4917294643
345	0.4915124788
346	0.4912420738
347	0.4912268186
348	0.4910768259
349	0.4908981968
350	0.4907352756
351	0.4905491001
352	0.4902973545
353	0.4901178211
354	0.4899791855
355	0.4898601173
356	0.4897454142
357	0.4897358526
358	0.4895137724
359	0.4892940812
360	0.4891928892
361	0.4890377582
362	0.4888796316
363	0.4887888596
364	0.4885811573
365	0.4884776793
366	0.4884066439
367	0.4881432554
368	0.4880381958
369	0.4877542661
370	0.487635788
371	0.4875183496
372	0.4873649626
373	0.4871945111
374	0.4869712537
375	0.486866524
376	0.4867181338
377	0.4865699926
378	0.4863855083
379	0.486287237
380	0.4862340957
381	0.4860711853
382	0.4859884819
383	0.485906972
384	0.4857813946
385	0.485664154
386	0.4856368759
387	0.485433248
388	0.485304652
389	0.4851863471
390	0.4850707852
391	0.4850452486
392	0.4848877979
393	0.4845970196
394	0.4844627096
395	0.4842995776
396	0.484218995
397	0.4840585327
398	0.4838347183
399	0.4836435907
400	0.4836431989
401	0.483462253
402	0.4833746332
403	0.4833475645
404	0.4830535764
405	0.4829111127
406	0.4827652131
407	0.4825419721
408	0.4823784455
409	0.4822004334
410	0.481960234
411	0.4817212393
412	0.4814090515
413	0.481273459
414	0.4810443826
415	0.4809675474
416	0.4808419922
417	0.480694646
418	0.4805756307
419	0.4804805416
420	0.4802951769
421	0.480105026
422	0.4799830276
423	0.4798551489
424	0.4796144287
425	0.4794625652
426	0.4793977366
427	0.4792823879
428	0.4790717172
429	0.4788675893
430	0.4787695289
431	0.4786443618
432	0.4785097912
433	0.4783087885
434	0.4782143933
435	0.4779987642
436	0.477777112
437	0.4775702851
438	0.4774784861
439	0.477287829
440	0.4772228292
441	0.4770990071
442	0.4770055513
443	0.4768598974
444	0.4766599416
445	0.4765971602
446	0.4763504793
447	0.4762831378
448	0.4761772348
449	0.4760662837
450	0.4759570944
451	0.4757832761
452	0.4757043248
453	0.475486041
454	0.4753507372
455	0.4751873698
456	0.4750652869
457	0.4749105013
458	0.4747456435
459	0.4745180801
460	0.4744650978
461	0.4743247314
462	0.4743152084
463	0.4741107083
464	0.4739905249
465	0.4738026991
466	0.4736550438
467	0.4735708377
468	0.4734423039
469	0.473357481
470	0.4732448499
471	0.4730246588
472	0.4728978474
473	0.4728512194
474	0.4726995962
475	0.4724375373
476	0.4723575547
477	0.4722443583
478	0.4720772493
479	0.4719187428
480	0.471745322
481	0.4716480207
482	0.4714985058
483	0.471358841
484	0.4712600249
485	0.4711968142
486	0.4710800228
